"time","text","replies","retweets","likes","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
2018-05-27,"hi",64,3800,1700,0,0,0,0,0,0,0,0,0,0
2018-05-27," driving  tesla model 3  32 hours ",5,6,72,0,0,0,0,0,0,0,0,0,1
2018-05-27,"journalists  want  repo ",18,45,274,0,0,0,0,0,0,0,0,0,0
2018-05-27,"episode 147  ",21,11,121,0,0,0,0,0,0,0,0,0,0
2017-10-06," good sounds like  3rd pay installers  taking advantage  powerwall demand >> supply taking action",21,20,433,1,2,0,0,2,0,1,2,1,5
2018-05-27,"nice",5,8,48,0,0,0,0,0,0,0,0,0,0
2018-05-27,"hello",0,5,12,0,0,0,0,0,0,0,0,0,0
2018-05-27,"well sure    mediawhy elons right  hes right   hes wrongwhy hes super wrongbeing boneheaded",3,2,11,0,0,0,0,0,0,0,0,0,0
2018-05-27," consistently press  brake pedal   cars thinking  door will close like   x  admit  thought   gimmicky   used    day   new normal",4,0,25,0,1,0,0,0,0,0,0,0,0
2018-05-27,"",0,14,57,0,0,0,0,0,0,0,0,0,0
2018-05-27," wrote  words 10 years ago   epilogue   2008 interview ",0,3,17,1,0,0,0,0,0,0,0,1,0
2018-05-27," 
 

read   


cc",0,23,23,0,0,0,0,0,0,0,0,0,0
2018-05-28,"someone  spends $150kto  ",0,3,11,0,0,0,0,0,0,0,0,0,0
2018-05-28,"yes awd p first   awd production costs  always high  line first gets going     sell higher price versions first   car will   negative margins  production efficiency rises  can make lower cost versionsnot lose money",52,34,600,2,2,1,1,1,3,2,1,3,3
2018-05-28,"journalist",15,18,86,0,0,0,0,0,0,0,0,0,1
2017-10-06," internal tesla powerwall install team  pr   small right now sending experienced installers  continental us  hiretrain local team  fast  possible",99,246,1300,0,1,0,0,0,0,0,2,1,1
2018-05-28,"abuse  harassment like     allowed  live   shadows ",10,28,87,1,0,1,1,0,1,0,0,1,0
2018-05-28," want",279,283,613,0,0,0,0,0,0,0,0,0,0
2018-05-28,"elon  ask    happened     women  tweeted   result  wanted   punishment  received fit  crime",71,33,132,2,1,1,1,0,0,0,0,2,1
2018-05-28,"  serious
  exactly  people need  ability  rate journalists
downvote credibility  paicipating   media rally  someone",0,1,30,0,0,0,0,0,0,0,1,0,2
2018-05-28,"firstly  daily beast lol

secondly  hope  go   celebrities   behavior   love turning  fanbase  people regardless  gender  never taking responsibility     actions",1,1,58,1,2,0,1,2,0,1,1,1,2
2018-05-28," many dudes proving  fucking point  well done",13,2,84,0,0,0,0,0,0,0,0,0,0
2018-05-28,"    person  company  deliberately avoid tagging    desire   get swamped",4,26,64,0,0,0,1,0,0,0,0,1,0
2018-05-29," picked   model 3 today  amazingwe  first day reservation holders got  complimentary model 3 gift  elon thank  tesla  elon musk   amazing ",126,104,2600,0,1,0,0,1,0,1,0,0,2
2018-05-29," youre   wondering   hell  going   

  incredibly well written rebuttal  pretty much everything   news  explains  elon lost  patience ",2,18,61,1,2,1,1,1,2,0,2,2,2
2018-05-29,"y   tease us like ",0,9,15,1,1,0,0,0,1,0,0,1,0
2017-10-06,"looking forward  see power restored   masses  soon  possible
 tesla trained locals  recovery works  expedite",0,5,60,0,0,0,0,0,0,0,0,0,2
