"time,text,replies,retweets,likes"
"2017-04-13,""The Lucid Air, a potential competitor to Tesla's Model S, makes its first auto show appearance http://cnb.cx/2p0HCMu "",2,15,18"
"2017-04-13,""JUST IN: Musk says Tesla will unveil semi truck, that was part of his """"master plan"""" published last summer, in Sept. http://www.cnbc.com/2017/04/13/musk-says-tesla-set-to-unveil-semi-truck-in-september.html …"",6,35,33"
"2017-04-13,Elon Musk gave details on four upcoming Tesla models on Thursday. http://trib.al/EsYAmpb ,2,9,14"
"2017-04-13,Tesla's Musk tells disgruntled shareholders: Buy Ford http://cnb.cx/2orgVxh  via @cnbctech,3,12,26"
"2017-04-16,""Cadillac has a secret weapon to beat Tesla at self-driving cars, The Verge reports http://cnb.cx/2nS2wxa "",9,16,12"
"2017-04-17,Kimbal Musk: Here's how to make your children into successful entrepreneurs http://cnb.cx/2ptPkeS ,0,13,25"
"2017-04-17,The man spending millions to tell Elon Musk to 'dump Trump' has revealed himself http://cnb.cx/2pueGJI ,4,11,17"
"2017-04-17,""Chemicals spill at Tesla battery factory, no serious injuries, officials say http://cnb.cx/2psgXIb "",2,5,7"
"2017-04-17,Tesla Model X tops AAA 'green car' list http://cnb.cx/2oo0bpa ,1,22,28"
"2017-04-18,Tesla faces threat of strike that could disrupt Model 3 production http://cnb.cx/2pOOLMm  via @cnbctech,5,15,15"
"2017-04-18,'Tesla semi' leads analyst to start downgrading truck stocks http://cnb.cx/2pyupaw ,1,14,8"
"2017-04-18,Tesla faces threat of strike that could disrupt Model 3 production http://cnb.cx/2opDFvR ,1,8,3"
"2017-04-19,""Chinese tech titan Baidu is opening up its driverless car tech to challenge Google, Tesla http://cnb.cx/2pfpO00 "",2,10,23"
"2017-04-19,5 things we can learn from one of Elon Musk's favorite books http://cnb.cx/2ospw1h ,0,8,16"
"2017-04-20,Elon Musk and Steve Jobs' brilliant trick to inspire employees to achieve the impossible http://cnb.cx/2pH9HIA ,0,15,27"
"2017-04-20,""Tesla could add billions in revenue by entering the trucking market, one analyst says http://cnb.cx/2pHBNDC "",2,21,26"
"2017-04-20,JUST IN: Tesla shares turn negative after company says it is recalling 53K Model S & X cars for parking brake issue http://www.cnbc.com/2017/04/20/tesla-recalls-53000-model-s-and-model-x-cars-for-parking-brake-issue.html …pic.twitter.com/BifgmqKbex,4,42,14"
"2017-04-20,""Tesla recalls 53,000 Model S and Model X cars for parking brake issue http://cnb.cx/2pHH1z2 "",1,26,17"
"2017-04-21,Elon Musk is on a mission to link human brains with computers in four years http://cnb.cx/2pMo6mS ,4,11,21"
"2017-04-21,One tech CEO says Elon Musk's brain-computer is 'what we all wanted' http://cnb.cx/2pLVFCR ,5,26,24"
"2017-04-21,""Elon Musk's brain-computer is 'what we all wanted,' said Qualtrics CEO http://cnb.cx/2ocAjkA "",5,11,18"
"2017-04-21,Elon Musk wants to link human brains with computers in four years http://cnb.cx/2p2dJuf ,5,21,32"
"2017-04-24,Elon Musk says plan to merge humans with machines is aimed at stopping a ‘Terminator’-style scenario http://cnb.cx/2pbVvXi ,3,14,18"
"2017-04-24,Tesla will double number of Supercharger stations in 2017 http://cnb.cx/2oo6gXw ,0,6,15"
"2017-04-25,Bank of America sees ‘material risk’ to the long-term viability of Tesla http://cnb.cx/2q0rGqO ,5,15,12"
"2017-04-25,Apple has hired ex-NASA and Tesla staffers to boost its self-driving car effort http://cnb.cx/2oH1pfW ,0,21,27"
"2017-04-25,Workers involved in union activities say Tesla is illegally intimidating them  http://cnb.cx/2oHOVFa ,1,8,9"
"2017-04-26,Consumer Reports cuts ratings for Tesla over brake software issue http://cnb.cx/2oISWbk ,1,6,6"
"2017-04-27,Elon Musk ousted the head of a company Tesla bought in November http://cnb.cx/2qcwSe7  via @cnbctech,2,6,13"
"2017-04-27,Tesla exec ousted after clashing with CEO Musk http://cnb.cx/2qckJFW ,1,7,4"
"2017-04-27,The crucial money decision Tesla's Elon Musk made when he was broke http://cnb.cx/2pps6sN ,0,14,21"
"2017-04-27,Elon Musk ousted the head of a company Tesla bought in November http://cnb.cx/2qb7oLj ,1,11,13"
"2017-04-28,""Auto companies are not Tesla's biggest competitors, says analyst http://cnb.cx/2oQcACs "",3,4,6"
"2017-04-28,Video shows Elon Musk's plan for massive underground freeway system http://cnb.cx/2pcS1Ug ,5,27,42"
"2017-04-28,Scientists think Facebook and Elon Musk are way too optimistic about mind-reading tech http://cnb.cx/2oUeUJs ,1,8,6"
"2017-05-01,This is what's in Elon Musk's brain right now http://cnb.cx/2pnVOOq ,0,9,11"
"2017-05-01,This chart makes the case for buying Tesla ahead of earnings http://cnb.cx/2oQ3RF0 ,1,11,14"
"2017-05-01,""Elon Musk loves Norway, and a quick look at capital city Oslo shows why http://cnb.cx/2pp4X9w "",3,12,22"
"2017-05-02,Tesla linked to investment in a supply chain firm that focuses on recycling http://cnb.cx/2p4unGV ,0,6,16"
"2017-05-02,10 things we learned from Elon Musk's TED interview http://cnb.cx/2oU4s8O ,0,12,16"
"2017-05-02,What to watch for when Tesla releases earnings http://cnb.cx/2pFnvmu ,3,7,7"
"2017-05-02,What to watch for when Tesla releases earnings http://cnb.cx/2pFdy8s ,0,6,9"
"2017-05-02,This is where Elon Musk gets his motivation http://cnb.cx/2p5FfEj ,1,12,12"
"2017-05-02,10 things we learned from Elon Musk's TED interview http://cnb.cx/2p5efVx  via @cnbctech,0,13,20"
"2017-05-03,""Tesla on track to produce Model 3 by July, road testing is underway http://cnb.cx/2pIF2Kw "",2,12,20"
"2017-05-03,EARNINGS: Tesla Q1 Loss ($1.33) vs. ($0.81) Est.; Q1 Revs. $2.70B vs. $2.62B Est. • $TSLA http://cnb.cx/2pIMYLT pic.twitter.com/uwUmrwb9nY,5,46,20"
"2017-05-03,""As Tesla's Model 3 heads toward production in July, a branding problem emerges  http://cnb.cx/2p9Uw7n "",2,10,14"
"2017-05-03,""Tesla reports earnings today, and here are the big things investors will be watching http://cnb.cx/2p9rCEp "",1,15,13"
"2017-05-03,Elon Musk says he doesn't know what Apple is doing with cars http://cnb.cx/2p7lsng ,4,12,18"
"2017-05-03,Einhorn: Tesla and other hot stocks are ‘reminiscent of the March 2000 dotcom bubble’ http://cnb.cx/2p8U1u3 ,3,8,19"
"2017-05-03,SEC probing Tesla's SolarCity divsion and another solar company http://cnb.cx/2qsh4nL ,1,5,5"
"2017-05-03,""It's too early to call Tesla a dotcom bubble stock, says analyst http://cnb.cx/2qsZjV2 "",1,3,9"
"2017-05-04,Worries over Model 3 shift to its impact on Tesla's pricier cars http://cnb.cx/2pdjbrp  via @cnbctech,3,4,17"
"2017-05-04,.@JimCramer: You have to be on drugs to understand Tesla's business http://cnb.cx/2q4tG4v ,6,9,30"
"2017-05-04,Tesla shares drop as investors worry Model 3 will be too good http://cnb.cx/2pdePRn ,2,7,8"
"2017-05-04,""Tesla on track to produce Model 3 by July, road testing is underway http://cnb.cx/2p9OhQJ  via @cnbctech"",1,5,9"
"2017-05-04,""Elon Musk's SpaceX to send the first of its 4,425 super-fast internet satellites into space in 2019 http://cnb.cx/2qHRKX9 "",2,23,25"
"2017-05-04,Elon Musk sees 'clear path' to Tesla being worth more than Apple one day http://cnb.cx/2qIWKuJ ,2,15,8"
"2017-05-05,Elon Musk considers calling the digging machine for his Boring Company 'Snoop Dug'  http://cnb.cx/2pGEncj ,8,12,30"
